ID,TEM,DPT,WIS,HUM,SLP,RAN
1,17,11.2,1.56,72.15,1015.4,NRT
2,21.4,11.8,1.62,64.79,1012.6,NRT
3,23.6,15.3,2.8,66.99,1010.7,LTR
4,29.3,18.6,3.7,62.68,1006.9,NRT
5,29.1,23.4,5.22,75.39,1003.2,LTR
6,28.2,24.2,3.12,84.51,1001.3,MHR
7,27.2,25,4.22,88.64,1002.2,MHR
8,28.4,25.5,4.34,85.65,1000.4,LTR
9,27.5,24.3,3.16,87.57,1004.8,MHR
10,26.4,22.6,2.58,81.79,1009.2,LTR
11,21.9,16.9,1.98,79.82,1011.7,NRT
12,18.8,11.6,1.74,79.35,1014.7,NRT
13,18.2,10.5,2.06,75.72,1015.4,NRT
14,18.5,8.3,2.5,70.25,1011.6,NRT
15,26,19.5,5.08,72.49,1009.5,NRT
16,28.1,21.1,4.12,72.61,1006.7,LTR
17,28.7,24.4,4.36,79.79,1003.2,LTR
18,27.7,24,4.42,85.95,1001.4,MHR
19,28.2,25.2,4.32,85.31,1000,LTR
20,28.2,25.4,4.54,86.09,1000.5,LTR
21,27.9,24,3.86,84.61,1003,LTR
22,26.6,23.3,3.18,83.79,1006.9,LTR
23,21.9,16.5,2.7,77.5,1013.7,NRT
24,16.8,11.9,2.4,76.86,1013.9,NRT
25,16.4,10.1,2.9,71.66,1013.4,NRT
26,20.6,12,2.86,68.87,1014.5,LTR
27,25.8,12,2.96,53.11,1010.1,NRT
28,27.8,19.9,4.64,69.89,1007.6,LTR
29,27.4,22.7,3.7,78.14,1004.7,LTR
30,27.6,24.1,3.44,86.71,1000,MHR
31,28.5,25.6,3.3,85.7,999.6,MHR
32,27.4,25,3.78,87.68,1003,MHR
33,28.3,24.3,2.96,84.19,1004.5,LTR
34,26,22.1,2.2,81.3,1009.9,LTR
35,21.7,16.7,1.66,78.95,1013.4,NRT
36,17.9,13.7,1.44,79.62,1015.2,NRT
37,16.3,9.9,2.18,70.87,1015.1,NRT
38,20.8,10.4,2.45,62.53,1013.9,NRT
39,24.3,14.3,2.85,61.61,1010.9,LTR
40,26.3,18.6,4.23,70.12,1008.9,LTR
41,26.5,22.5,3.75,80.98,1005.8,MHR
42,27.7,24.2,3.63,87.43,1001.4,MHR
