ID,Station,Year,Month,TEM,DPT,WIS,HUM,SLP,T_RAN,A_RAIN,RAN
1,Mymensingh,1960,1,16.9,11.3,2,73.39,1016,15,0.48,NRT
2,Mymensingh,1960,2,21.4,12.6,1.7,66.34,1013,0,0,NRT
3,Mymensingh,1960,3,24.1,14.9,2.3,64.13,1011.4,69,2.23,LTR
4,Mymensingh,1960,4,29.9,17.6,2.2,59.03,1007.1,27,0.9,NRT
5,Mymensingh,1960,5,29.6,23.2,2.4,73.45,1003.4,187,6.03,LTR
6,Mymensingh,1960,6,28.2,24.1,2,84.03,1001.6,363,12.1,MHR
7,Mymensingh,1960,7,27.7,25.2,2.2,87.87,1002,383,12.35,MHR
8,Mymensingh,1960,8,28.7,25.6,3,85.65,1000.5,355,11.45,MHR
9,Mymensingh,1960,9,28,24.6,1.6,87.63,1005,579,19.3,MHR
10,Mymensingh,1960,10,27,22.9,1.5,80.58,1009.9,53,1.71,LTR
11,Mymensingh,1960,11,21.8,17.4,1.5,81.3,1013.7,6,0.2,NRT
12,Mymensingh,1960,12,18.5,14.5,1.5,80.06,1015.2,0,0,NRT
13,Mymensingh,1961,1,17.8,13.3,1.3,77.52,1016.3,0,0,NRT
14,Mymensingh,1961,2,17.8,11.3,1.6,75.46,1012.3,0,0,NRT
15,Mymensingh,1961,3,25.2,18.6,2.1,72.97,1009.8,0,0,NRT
16,Mymensingh,1961,4,27.8,21,2,72.53,1006.8,15,0.5,NRT
17,Mymensingh,1961,5,28.9,24.9,2.2,81.39,1003.7,295,9.52,LTR
18,Mymensingh,1961,6,27.6,24.2,2,87.27,1001.7,456,15.2,MHR
19,Mymensingh,1961,7,28.2,25.3,2,86.68,1000.2,242,7.81,LTR
20,Mymensingh,1961,8,28.4,25.5,2,85.58,1001,150,4.84,LTR
21,Mymensingh,1961,9,28.1,24,2.1,84.3,1003.6,121,4.03,LTR
22,Mymensingh,1961,10,26.3,22.9,1.4,84.16,1010,86,2.77,LTR
23,Mymensingh,1961,11,21.5,16.9,1.1,80.33,1014.6,3,0.1,NRT
24,Mymensingh,1961,12,16.1,12.8,1.2,81.52,1014.8,0,0,NRT
25,Mymensingh,1962,1,16,11.1,1.3,75.35,1014.3,6,0.19,NRT
26,Mymensingh,1962,2,19.8,12.9,1.5,74.54,1014.6,10,0.36,NRT
27,Mymensingh,1962,3,25.9,10.6,1.9,49.65,1010.7,1,0.03,NRT
28,Mymensingh,1962,4,28,19,2.2,65.97,1008.1,51,1.7,LTR
29,Mymensingh,1962,5,27.2,22.3,2.1,77.45,1005.1,390,12.58,MHR
30,Mymensingh,1962,6,27.9,24.2,1.9,86.13,1000.2,461,15.37,MHR
31,Mymensingh,1962,7,28.7,25.8,1.7,85.9,999.9,311,10.03,MHR
32,Mymensingh,1962,8,27.7,25.3,1.9,87.71,1003.4,353,11.39,MHR
33,Mymensingh,1962,9,28.5,24.4,2.2,83.9,1005.1,210,7,LTR
34,Mymensingh,1962,10,26.1,22.4,1.7,82.23,1010.6,103,3.32,LTR
35,Mymensingh,1962,11,22.4,18.1,1.9,82.6,1014.2,0,0,NRT
36,Mymensingh,1962,12,18.1,15.1,1,84.1,1015.9,0,0,NRT
37,Mymensingh,1963,1,16.7,11.5,0.6,74.77,1015.5,0,0,NRT
38,Mymensingh,1963,2,20.7,12.2,0.8,68.18,1014.1,0,0,NRT
39,Mymensingh,1963,3,23.5,16.2,1.1,70.13,1011.3,40,1.29,LTR
40,Mymensingh,1963,4,26.3,19.2,2.5,71.93,1009.2,74,2.47,LTR
41,Mymensingh,1963,5,27,23.1,2,82.23,1005.8,223,7.19,LTR
42,Mymensingh,1963,6,27.7,24.4,1.4,88.63,1001.1,518,17.27,MHR
43,Mymensingh,1963,7,27.8,25.8,1.5,90.55,999.9,410,13.23,MHR
44,Mymensingh,1963,8,28.1,25.9,1.7,89,1002.4,313,10.1,MHR
45,Mymensingh,1963,9,28.5,24.5,0.9,84.7,1005.5,174,5.8,LTR
46,Mymensingh,1963,10,26.7,24,1.8,86.77,1011.1,160,5.16,LTR
47,Mymensingh,1963,11,23.3,18.4,0.3,80.27,1014.6,82,2.73,LTR
48,Mymensingh,1963,12,19.9,14.7,0,75.13,1015.8,1,0.03,NRT
49,Mymensingh,1964,1,17.3,11.8,0.1,73.87,1015.9,13,0.42,NRT
50,Mymensingh,1964,2,20.8,13.9,0.8,73.38,1014.1,49,1.69,LTR
51,Mymensingh,1964,3,25.8,18.6,1.5,69.39,1011,31,1,LTR
52,Mymensingh,1964,4,26.4,21.5,2,80.1,1007.4,101,3.37,LTR
53,Mymensingh,1964,5,27.5,24.2,1.3,83.74,1005.1,368,11.87,MHR
54,Mymensingh,1964,6,27.7,24.7,2,89.2,1000.9,598,19.93,MHR
55,Mymensingh,1964,7,27.5,25.6,0.7,90.23,1003.1,488,15.74,MHR
56,Mymensingh,1964,8,29,26.6,1.4,88.13,1001.1,237,7.65,LTR
57,Mymensingh,1964,9,28.1,24.8,0.5,87.5,1004.8,448,14.93,MHR
58,Mymensingh,1964,10,27.3,24.3,1.4,85.29,1008.2,396,12.77,MHR
59,Mymensingh,1964,11,24.1,18.3,1.2,76.03,1012.8,0,0,NRT
60,Mymensingh,1964,12,19.9,15.8,1.2,80.35,1015.8,0,0,NRT
61,Mymensingh,1965,1,19,13.4,0.2,74.74,1016.6,0,0,NRT
